muni_code,muni_name,muni_long_name,province,muni_category,miif_category,num_taxpayers,taxable_income_rm,avg_taxable_income,total_capex_rm,total_budget_rm,spending_ratio,underspend_pct,opinion_code,opinion_label,governance_score,uifw_total_rm,uifw_pct_budget
FS161,Letsemeng,"Letsemeng, Free State",Free State,B,B3,2342.0,498.0,212639.0,24.77,178.74,0.139,86.1,qualified,Qualified,3.0,349.94,195.78
FS162,Kopanong,"Kopanong, Free State",Free State,B,B3,3295.0,790.0,239757.0,10.14,126.29,0.08,92.0,outstanding,Outstanding,0.0,0.0,0.0
FS163,Mohokare,"Mohokare, Free State",Free State,B,B3,1852.0,371.0,200324.0,52.07,121.38,0.429,57.1,outstanding,Outstanding,0.0,89.68,73.88
FS164,Naledi,"Naledi, Free State",Free State,B,B3,,,,,,,,,,,,
FS181,Masilonyana,"Masilonyana, Free State",Free State,B,B3,3864.0,798.0,206522.0,0.77,62.45,0.012,98.8,outstanding,Outstanding,0.0,0.0,0.0
FS182,Tokologo,"Tokologo, Free State",Free State,B,B3,1316.0,248.0,188450.0,43.15,96.94,0.445,55.5,outstanding,Outstanding,0.0,0.0,0.0
FS183,Tswelopele,"Tswelopele, Free State",Free State,B,B3,3292.0,593.0,180134.0,37.19,64.66,0.575,42.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,26.69,41.28
FS184,Matjhabeng,"Matjhabeng, Free State",Free State,B,B1,38881.0,11815.0,303876.0,132.55,355.48,0.373,62.7,qualified,Qualified,3.0,1833.11,515.67
FS185,Nala,"Nala, Free State",Free State,B,B3,4807.0,1104.0,229665.0,237.36,349.22,0.68,32.0,outstanding,Outstanding,0.0,263.21,75.37
FS191,Setsoto,"Setsoto, Free State",Free State,B,B3,6441.0,1440.0,223568.0,162.15,332.47,0.488,51.2,qualified,Qualified,3.0,415.28,124.91
FS192,Dihlabeng,"Dihlabeng, Free State",Free State,B,B2,13019.0,3242.0,249021.0,81.66,205.68,0.397,60.3,qualified,Qualified,3.0,428.05,208.11
FS193,Nketoana,"Nketoana, Free State",Free State,B,B3,3560.0,660.0,185393.0,55.14,135.09,0.408,59.2,outstanding,Outstanding,0.0,0.0,0.0
FS194,Maluti-a-Phofung,"Maluti-a-Phofung, Free State",Free State,B,B3,22524.0,5703.0,253197.0,301.8,612.27,0.493,50.7,outstanding,Outstanding,0.0,327.25,53.45
FS195,Phumelela,"Phumelela, Free State",Free State,B,B3,2519.0,558.0,221516.0,72.75,105.25,0.691,30.9,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,115.25,109.5
FS196,Mantsopa,"Mantsopa, Free State",Free State,B,B3,3067.0,712.0,232149.0,34.74,64.02,0.543,45.7,outstanding,Outstanding,0.0,188.32,294.16
FS201,Moqhaka,"Moqhaka, Free State",Free State,B,B2,14055.0,3457.0,245962.0,125.46,189.44,0.662,33.8,qualified,Qualified,3.0,222.7,117.56
FS203,Ngwathe,"Ngwathe, Free State",Free State,B,B3,9422.0,2209.0,234451.0,135.6,201.36,0.673,32.7,qualified,Qualified,3.0,129.69,64.41
FS204,Metsimaholo,"Metsimaholo, Free State",Free State,B,B2,22410.0,6496.0,289871.0,58.45,319.48,0.183,81.7,qualified,Qualified,3.0,90.69,28.39
FS205,Mafube,"Mafube, Free State",Free State,B,B3,3454.0,752.0,217719.0,43.29,112.28,0.386,61.4,outstanding,Outstanding,0.0,0.0,0.0
GT421,Emfuleni,"Emfuleni, Gauteng",Gauteng,B,B1,88205.0,25554.0,289711.0,649.72,1184.01,0.549,45.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,1632.2,137.85
GT422,Midvaal,"Midvaal, Gauteng",Gauteng,B,B2,15245.0,5079.0,333158.0,467.44,522.66,0.894,10.6,unqualified,Unqualified - No findings,5.0,9.76,1.87
GT423,Lesedi,"Lesedi, Gauteng",Gauteng,B,B3,10549.0,3186.0,302019.0,117.48,198.49,0.592,40.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,36.89,18.59
GT481,Mogale City,"Mogale City, Gauteng",Gauteng,B,B1,50088.0,17247.0,344334.0,974.62,1018.21,0.957,4.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,107.58,10.57
GT482,Randfontein,"Randfontein, Gauteng",Gauteng,B,B2,,,,,,,,,,,,
GT483,Westonaria,"Westonaria, Gauteng",Gauteng,B,B2,,,,,,,,,,,,
GT484,Merafong City,"Merafong City, Gauteng",Gauteng,B,B2,19158.0,5902.0,308070.0,263.98,319.38,0.827,17.3,adverse,Adverse opinion,2.0,80.01,25.05
GT485,Rand West City,"Rand West City, Gauteng",Gauteng,B,B2,27694.0,8124.0,293349.0,166.35,525.45,0.317,68.3,qualified,Qualified,3.0,425.93,81.06
JHB,City of Johannesburg,"City of Johannesburg, Gauteng",Gauteng,A,A,726663.0,324629.0,446739.0,10841.05,14099.74,0.769,23.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,2132.64,15.13
KZN211,Vulamehlo,"Vulamehlo, KwaZulu-Natal",KwaZulu-Natal,B,B4,,,,,,,,,,,,
KZN212,Umdoni,"Umdoni, Kwazulu-Natal",KwaZulu-Natal,B,B2,10149.0,2543.0,250567.0,92.05,142.86,0.644,35.6,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,123.97,86.78
KZN213,Umzumbe,"Umzumbe, Kwazulu-Natal",KwaZulu-Natal,B,B4,1263.0,323.0,255740.0,605.51,224.23,2.7,-170.0,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,60.79,27.11
KZN214,uMuziwabantu,"uMuziwabantu, Kwazulu-Natal",KwaZulu-Natal,B,B3,2964.0,765.0,258097.0,68.24,89.87,0.759,24.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,26.49,29.48
KZN215,Ezingoleni,"Ezingoleni, KwaZulu-Natal",KwaZulu-Natal,B,B4,,,,,,,,,,,,
KZN216,Ray Nkonyeni,"Ray Nkonyeni, Kwazulu-Natal",KwaZulu-Natal,B,B2,27593.0,7072.0,256297.0,222.53,261.63,0.851,14.9,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,32.02,12.24
KZN221,uMshwathi,"uMshwathi, Kwazulu-Natal",KwaZulu-Natal,B,B4,3416.0,943.0,276054.0,1111.71,65.53,16.966,-1596.6,qualified,Qualified,3.0,77.22,117.84
KZN222,uMngeni,"uMngeni, Kwazulu-Natal",KwaZulu-Natal,B,B2,13313.0,3983.0,299181.0,111.17,108.43,1.025,-2.5,qualified,Qualified,3.0,108.67,100.22
KZN223,Mpofana,"Mpofana, Kwazulu-Natal",KwaZulu-Natal,B,B3,1601.0,368.0,229856.0,6.97,24.46,0.285,71.5,qualified,Qualified,3.0,103.36,422.57
KZN224,Impendle,"Impendle, Kwazulu-Natal",KwaZulu-Natal,B,B4,764.0,168.0,219895.0,,,,,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,19.95,
KZN225,Msunduzi,"Msunduzi, Kwazulu-Natal",KwaZulu-Natal,B,B1,70214.0,21512.0,306378.0,4377.0,1459.85,2.998,-199.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,979.89,67.12
KZN226,Mkhambathini,"Mkhambathini, Kwazulu-Natal",KwaZulu-Natal,B,B3,1782.0,429.0,240741.0,78.35,86.33,0.908,9.2,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,5.14,5.95
KZN227,Richmond,"Richmond, Kwazulu-Natal",KwaZulu-Natal,B,B4,1915.0,457.0,238642.0,58.92,62.99,0.935,6.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,29.78,47.28
KZN232,Emnambithi/Ladysmith,"Emnambithi/Ladysmith, KwaZulu-Natal",KwaZulu-Natal,B,B2,,,,,,,,,,,,
KZN233,Indaka,"Indaka, KwaZulu-Natal",KwaZulu-Natal,B,B4,,,,,,,,,,,,
KZN234,Umtshezi,"Umtshezi, KwaZulu-Natal",KwaZulu-Natal,B,B3,,,,,,,,,,,,
KZN235,Okhahlamba,"Okhahlamba, Kwazulu-Natal",KwaZulu-Natal,B,B4,3504.0,846.0,241438.0,78.75,94.87,0.83,17.0,unqualified,Unqualified - No findings,5.0,3.69,3.89
KZN236,Imbabazane,"Imbabazane, KwaZulu-Natal",KwaZulu-Natal,B,B4,,,,,,,,,,,,
KZN237,Inkosi Langalibalele,"Inkosi Langalibalele, Kwazulu-Natal",KwaZulu-Natal,B,B3,6834.0,1719.0,251536.0,49.93,195.83,0.255,74.5,disclaimer,Disclaimer of opinion,1.0,69.79,35.64
KZN238,Alfred Duma,"Alfred Duma, Kwazulu-Natal",KwaZulu-Natal,B,B2,16612.0,4402.0,264989.0,124.39,319.4,0.389,61.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,2.59,0.81
KZN241,Endumeni,"Endumeni, Kwazulu-Natal",KwaZulu-Natal,B,B3,7160.0,1951.0,272486.0,32.0,49.07,0.652,34.8,qualified,Qualified,3.0,43.59,88.83
KZN242,Nquthu,"Nquthu, Kwazulu-Natal",KwaZulu-Natal,B,B4,1693.0,418.0,246899.0,137.27,205.53,0.668,33.2,disclaimer,Disclaimer of opinion,1.0,217.78,105.96
KZN244,Msinga,"Msinga, Kwazulu-Natal",KwaZulu-Natal,B,B4,2872.0,687.0,239206.0,64.97,107.62,0.604,39.6,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,25.52,23.71
KZN245,Umvoti,"Umvoti, Kwazulu-Natal",KwaZulu-Natal,B,B3,5038.0,1320.0,262009.0,96.32,102.06,0.944,5.6,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,60.91,59.68
KZN252,Newcastle,"Newcastle, Kwazulu-Natal",KwaZulu-Natal,B,B1,29377.0,8253.0,280934.0,454.22,549.0,0.827,17.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,36.01,6.56
KZN253,Emadlangeni,"Emadlangeni, Kwazulu-Natal",KwaZulu-Natal,B,B3,1124.0,265.0,235765.0,17.13,24.17,0.708,29.2,qualified,Qualified,3.0,41.35,171.08
KZN254,Dannhauser,"Dannhauser, Kwazulu-Natal",KwaZulu-Natal,B,B4,3088.0,720.0,233161.0,105.75,130.91,0.808,19.2,qualified,Qualified,3.0,21.64,16.53
KZN261,eDumbe,"eDumbe, Kwazulu-Natal",KwaZulu-Natal,B,B3,2222.0,521.0,234473.0,,,,,qualified,Qualified,3.0,48.49,
KZN262,uPhongolo,"uPhongolo, Kwazulu-Natal",KwaZulu-Natal,B,B4,4238.0,1068.0,252006.0,53.37,98.44,0.542,45.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,21.59,21.93
KZN263,Abaqulusi,"Abaqulusi, Kwazulu-Natal",KwaZulu-Natal,B,B3,10075.0,2723.0,270273.0,78.48,117.92,0.666,33.4,qualified,Qualified,3.0,218.24,185.07
KZN265,Nongoma,"Nongoma, Kwazulu-Natal",KwaZulu-Natal,B,B4,6732.0,1583.0,235146.0,65.92,71.2,0.926,7.4,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,44.77,62.88
KZN266,Ulundi,"Ulundi, Kwazulu-Natal",KwaZulu-Natal,B,B4,7036.0,1860.0,264355.0,86.0,107.12,0.803,19.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,44.19,41.25
KZN271,Umhlabuyalingana,"Umhlabuyalingana, Kwazulu-Natal",KwaZulu-Natal,B,B4,4563.0,1102.0,241508.0,,,,,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,26.08,
KZN272,Jozini,"Jozini, Kwazulu-Natal",KwaZulu-Natal,B,B4,5788.0,1408.0,243262.0,84.14,79.4,1.06,-6.0,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,64.82,81.64
KZN273,The Big 5 False Bay,"The Big 5 False Bay, KwaZulu-Natal",KwaZulu-Natal,B,B3,,,,,,,,,,,,
KZN274,Hlabisa,"Hlabisa, KwaZulu-Natal",KwaZulu-Natal,B,B4,,,,,,,,,,,,
KZN275,Mtubatuba,"Mtubatuba, Kwazulu-Natal",KwaZulu-Natal,B,B3,8498.0,2066.0,243116.0,66.25,95.04,0.697,30.3,qualified,Qualified,3.0,216.86,228.18
KZN276,Hlabisa Big Five,"Hlabisa Big Five, Kwazulu-Natal",KwaZulu-Natal,B,B3,3356.0,766.0,228248.0,,,,,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,53.9,
KZN281,Mfolozi,"Mfolozi, Kwazulu-Natal",KwaZulu-Natal,B,B4,1148.0,286.0,249129.0,59.49,86.2,0.69,31.0,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,54.7,63.46
KZN282,uMhlathuze,"uMhlathuze, Kwazulu-Natal",KwaZulu-Natal,B,B1,46633.0,14902.0,319559.0,1452.74,1399.84,1.038,-3.8,unqualified,Unqualified - No findings,5.0,12.48,0.89
KZN283,Ntambanana,"Ntambanana, KwaZulu-Natal",KwaZulu-Natal,B,B4,,,,,,,,,,,,
KZN284,uMlalazi,"uMlalazi, Kwazulu-Natal",KwaZulu-Natal,B,B4,7989.0,2186.0,273626.0,151.47,168.89,0.897,10.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,35.14,20.81
KZN285,Mthonjaneni,"Mthonjaneni, Kwazulu-Natal",KwaZulu-Natal,B,B3,1947.0,472.0,242424.0,62.53,75.0,0.834,16.6,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,24.55,32.73
KZN286,Nkandla,"Nkandla, Kwazulu-Natal",KwaZulu-Natal,B,B4,2887.0,759.0,262903.0,,,,,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,9.55,
KZN291,Mandeni,"Mandeni, Kwazulu-Natal",KwaZulu-Natal,B,B4,5927.0,1387.0,234014.0,,,,,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,10.51,
KZN292,KwaDukuza,"KwaDukuza, Kwazulu-Natal",KwaZulu-Natal,B,B2,21303.0,7630.0,358166.0,272.12,380.77,0.715,28.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,85.84,22.54
KZN293,Ndwedwe,"Ndwedwe, Kwazulu-Natal",KwaZulu-Natal,B,B4,2999.0,694.0,231410.0,110.07,133.65,0.824,17.6,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,0.0,0.0
KZN294,Maphumulo,"Maphumulo, Kwazulu-Natal",KwaZulu-Natal,B,B4,1214.0,285.0,234761.0,53.7,79.96,0.672,32.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,0.2,0.25
KZN431,Ingwe,"Ingwe, KwaZulu-Natal",KwaZulu-Natal,B,B4,,,,,,,,,,,,
KZN432,Kwa Sani,"Kwa Sani, KwaZulu-Natal",KwaZulu-Natal,B,B3,,,,,,,,,,,,
KZN433,Greater Kokstad,"Greater Kokstad, Kwazulu-Natal",KwaZulu-Natal,B,B2,5667.0,1498.0,264337.0,133.5,212.48,0.628,37.2,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,49.71,23.4
KZN434,Ubuhlebezwe,"Ubuhlebezwe, Kwazulu-Natal",KwaZulu-Natal,B,B4,3278.0,826.0,251983.0,36.75,97.85,0.376,62.4,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,66.54,68.0
KZN435,Umzimkhulu,"Umzimkhulu, Kwazulu-Natal",KwaZulu-Natal,B,B4,5319.0,1358.0,255311.0,150.74,191.35,0.788,21.2,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,21.39,11.18
KZN436,Dr Nkosazana Dlamini Zuma,"Dr Nkosazana Dlamini Zuma, Kwazulu-Natal",KwaZulu-Natal,B,B3,2532.0,627.0,247630.0,110.15,166.16,0.663,33.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,11.13,6.7
LIM331,Greater Giyani,"Greater Giyani, Limpopo",Limpopo,B,B4,10138.0,2920.0,288025.0,129.44,256.74,0.504,49.6,qualified,Qualified,3.0,61.96,24.13
LIM332,Greater Letaba,"Greater Letaba, Limpopo",Limpopo,B,B4,4346.0,1242.0,285780.0,155.27,202.86,0.765,23.5,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,54.7,26.96
LIM333,Greater Tzaneen,"Greater Tzaneen, Limpopo",Limpopo,B,B4,17744.0,5298.0,298580.0,149.58,355.9,0.42,58.0,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,50.82,14.28
LIM334,Ba-Phalaborwa,"Ba-Phalaborwa, Limpopo",Limpopo,B,B3,9877.0,3673.0,371874.0,86.48,157.88,0.548,45.2,qualified,Qualified,3.0,55.76,35.32
LIM335,Maruleng,"Maruleng, Limpopo",Limpopo,B,B4,3813.0,1078.0,282717.0,111.36,202.91,0.549,45.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,73.44,36.19
LIM341,Musina,"Musina, Limpopo",Limpopo,B,B3,4071.0,1336.0,328175.0,31.96,85.68,0.373,62.7,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,23.24,27.12
LIM342,Mutale,"Mutale, Limpopo",Limpopo,B,B4,,,,,,,,,,,,
LIM343,Thulamela,"Thulamela, Limpopo",Limpopo,B,B4,27756.0,8280.0,298314.0,190.21,285.24,0.667,33.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,0.2,0.07
LIM344,Makhado,"Makhado, Limpopo",Limpopo,B,B4,20407.0,6024.0,295193.0,177.96,448.5,0.397,60.3,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,0.0,0.0
LIM345,Collins Chabane,"Collins Chabane, Limpopo",Limpopo,B,B4,9849.0,2731.0,277287.0,316.88,411.83,0.769,23.1,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,127.8,31.03
LIM351,Blouberg,"Blouberg, Limpopo",Limpopo,B,B4,4394.0,1181.0,268776.0,69.35,130.41,0.532,46.8,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,30.29,23.23
LIM352,Aganang,"Aganang, Limpopo",Limpopo,B,B4,,,,,,,,,,,,
LIM353,Molemole,"Molemole, Limpopo",Limpopo,B,B4,2001.0,581.0,290355.0,81.78,100.25,0.816,18.4,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4.0,2.33,2.32
LIM354,Polokwane,"Polokwane, Limpopo",Limpopo,B,B1,59936.0,19734.0,329251.0,1391.67,1950.94,0.713,28.7,qualified,Qualified,3.0,687.21,35.22
