muni_code,demarcation_label,opinion_code,opinion_label,governance_score
KZN294,Maphumulo,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN433,Greater Kokstad,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN434,Ubuhlebezwe,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN435,Umzimkhulu,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
KZN436,Dr Nkosazana Dlamini Zuma,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM331,Greater Giyani,qualified,Qualified,3
LIM332,Greater Letaba,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM333,Greater Tzaneen,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM334,Ba-Phalaborwa,qualified,Qualified,3
LIM335,Maruleng,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM341,Musina,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM343,Thulamela,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM344,Makhado,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM345,Collins Chabane,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM351,Blouberg,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM353,Molemole,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM354,Polokwane,qualified,Qualified,3
LIM355,Lepelle-Nkumpi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM361,Thabazimbi,qualified,Qualified,3
LIM362,Lephalale,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM366,Bela Bela,outstanding,Outstanding,0
LIM367,Mogalakwena,qualified,Qualified,3
LIM368,Modimolle-Mookgopong,qualified,Qualified,3
LIM471,Ephraim Mogale,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM472,Elias Motsoaledi,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM473,Makhuduthamaga,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
LIM476,Tubatse Fetakgomo,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
MAN,Mangaung,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
MP301,Albert Luthuli,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
MP302,Msukaligwa,qualified,Qualified,3
MP303,Mkhondo,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
MP304,Pixley Ka Seme (MP),qualified,Qualified,3
MP305,Lekwa,disclaimer,Disclaimer of opinion,1
MP306,Dipaleseng,disclaimer,Disclaimer of opinion,1
MP307,Govan Mbeki,qualified,Qualified,3
MP311,Victor Khanye,qualified,Qualified,3
MP312,Emalahleni (MP),qualified,Qualified,3
MP313,Steve Tshwete,unqualified,Unqualified - No findings,5
MP314,Emakhazeni,adverse,Adverse opinion,2
MP315,Thembisile Hani,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
MP316,Dr J.S. Moroka,disclaimer,Disclaimer of opinion,1
MP321,Thaba Chweu,unqualified_emphasis_of_matter,Unqualified - Emphasis of Matter items,4
