muni_code,demarcation_label,uifw_fruitless,uifw_irregular,uifw_unauthorised,uifw_total,uifw_total_rm
KZN254,Dannhauser,0.0,21639030.0,0.0,21639030.0,21.64
KZN261,eDumbe,37730.0,16054509.0,32398772.0,48491011.0,48.49
KZN262,uPhongolo,2529.0,404337.0,21186752.0,21593618.0,21.59
KZN263,Abaqulusi,8061007.0,80744070.0,129439476.0,218244553.0,218.24
KZN265,Nongoma,161703.0,18058160.0,26546551.0,44766414.0,44.77
KZN266,Ulundi,0.0,44187041.0,0.0,44187041.0,44.19
KZN271,Umhlabuyalingana,979402.0,25101864.0,0.0,26081266.0,26.08
KZN272,Jozini,77739.0,40460908.0,24286001.0,64824648.0,64.82
KZN275,Mtubatuba,2968670.0,179490313.0,34402664.0,216861647.0,216.86
KZN276,Hlabisa Big Five,318024.0,8836899.0,44748909.0,53903832.0,53.9
KZN281,Mfolozi,15290.0,45001629.0,9687889.0,54704808.0,54.7
KZN282,uMhlathuze,0.0,12480823.0,0.0,12480823.0,12.48
KZN284,uMlalazi,1275.0,35138579.0,0.0,35139854.0,35.14
KZN285,Mthonjaneni,201340.0,24345817.0,0.0,24547157.0,24.55
KZN286,Nkandla,151098.0,9397515.0,0.0,9548613.0,9.55
KZN291,Mandeni,166750.0,10342370.0,0.0,10509120.0,10.51
KZN292,KwaDukuza,0.0,68753850.0,17082697.0,85836547.0,85.84
KZN293,Ndwedwe,2896.0,0.0,0.0,2896.0,0.0
KZN294,Maphumulo,39888.0,159540.0,0.0,199428.0,0.2
KZN433,Greater Kokstad,0.0,49713355.0,0.0,49713355.0,49.71
KZN434,Ubuhlebezwe,0.0,66535431.0,0.0,66535431.0,66.54
KZN435,Umzimkhulu,0.0,21385537.0,0.0,21385537.0,21.39
KZN436,Dr Nkosazana Dlamini Zuma,93652.0,11032923.0,0.0,11126575.0,11.13
LIM331,Greater Giyani,86005.0,10596671.0,51282044.0,61964720.0,61.96
LIM332,Greater Letaba,1243158.0,33872398.0,19585070.0,54700626.0,54.7
LIM333,Greater Tzaneen,6166778.0,29565272.0,15083719.0,50815769.0,50.82
LIM334,Ba-Phalaborwa,86673.0,28553529.0,27120364.0,55760566.0,55.76
LIM335,Maruleng,192757.0,52330301.0,20914389.0,73437447.0,73.44
LIM341,Musina,61569.0,23182105.0,0.0,23243674.0,23.24
LIM343,Thulamela,17173.0,186218.0,0.0,203391.0,0.2
LIM344,Makhado,880.0,0.0,0.0,880.0,0.0
LIM345,Collins Chabane,4605.0,82341432.0,45453428.0,127799465.0,127.8
LIM351,Blouberg,0.0,30286364.0,0.0,30286364.0,30.29
LIM353,Molemole,28477.0,2303412.0,0.0,2331889.0,2.33
LIM354,Polokwane,17708.0,72934604.0,614252938.0,687205250.0,687.21
LIM355,Lepelle-Nkumpi,243505.0,10253198.0,257157237.0,267653940.0,267.65
LIM361,Thabazimbi,12047583.0,60101966.0,40651314.0,112800863.0,112.8
LIM362,Lephalale,12295.0,23083715.0,0.0,23096010.0,23.1
LIM366,Bela Bela,834003.0,14448304.0,70995531.0,86277838.0,86.28
LIM367,Mogalakwena,3589209.0,242399102.0,583819945.0,829808256.0,829.81
LIM368,Modimolle-Mookgopong,30720491.0,33042442.0,131631710.0,195394643.0,195.39
LIM471,Ephraim Mogale,2942611.0,7977419.0,0.0,10920030.0,10.92
LIM472,Elias Motsoaledi,2184677.0,77379399.0,40945923.0,120509999.0,120.51
LIM473,Makhuduthamaga,0.0,62417624.0,38086857.0,100504481.0,100.5
LIM476,Tubatse Fetakgomo,5668684.0,139763961.0,94300362.0,239733007.0,239.73
MAN,Mangaung,19694896.0,190844856.0,570024938.0,780564690.0,780.56
MP301,Albert Luthuli,122284.0,16189484.0,9859613.0,26171381.0,26.17
MP302,Msukaligwa,0.0,174767721.0,83459000.0,258226721.0,258.23
MP303,Mkhondo,8454831.0,12886791.0,158365190.0,179706812.0,179.71
MP304,Pixley Ka Seme (MP),23378.0,10177404.0,0.0,10200782.0,10.2
MP305,Lekwa,11518648.0,40751096.0,233469317.0,285739061.0,285.74
MP306,Dipaleseng,0.0,3317530.0,26087611.0,29405141.0,29.41
MP307,Govan Mbeki,85106221.0,79610378.0,815585332.0,980301931.0,980.3
MP311,Victor Khanye,0.0,121930026.0,60489490.0,182419516.0,182.42
MP312,Emalahleni (MP),0.0,198888018.0,444726152.0,643614170.0,643.61
MP313,Steve Tshwete,70520.0,0.0,107014335.0,107084855.0,107.08
MP314,Emakhazeni,0.0,22344475.0,294760.0,22639235.0,22.64
MP315,Thembisile Hani,39413.0,20466469.0,0.0,20505882.0,20.51
MP316,Dr J.S. Moroka,0.0,49465313.0,0.0,49465313.0,49.47
MP321,Thaba Chweu,0.0,205364591.0,130702206.0,336066797.0,336.07
MP324,Nkomazi,18221.0,38330542.0,33953290.0,72302053.0,72.3
MP325,Bushbuckridge,31560.0,211536197.0,0.0,211567757.0,211.57
MP326,City of Mbombela,0.0,50788204.0,486319531.0,537107735.0,537.11
NC061,Richtersveld,0.0,8239883.0,20050050.0,28289933.0,28.29
NC062,Nama Khoi,0.0,3954351.0,16661252.0,20615603.0,20.62
NC064,Kamiesberg,751299.0,31681868.0,29307899.0,61741066.0,61.74
NC065,Hantam,419.0,45734634.0,2248077.0,47983130.0,47.98
NC066,Karoo Hoogland,1100.0,8557831.0,10838507.0,19397438.0,19.4
NC067,Khai-Ma,799513.0,2075762.0,5519149.0,8394424.0,8.39
NC071,Ubuntu,0.0,23715832.0,40046760.0,63762592.0,63.76
NC072,Umsobomvu,0.0,10716472.0,27818818.0,38535290.0,38.54
NC073,Emthanjeni,89617.0,9628128.0,87873319.0,97591064.0,97.59
NC074,Kareeberg,1496651.0,2343735.0,0.0,3840386.0,3.84
NC075,Renosterberg,1869765.0,0.0,0.0,1869765.0,1.87
NC076,Thembelihle,0.0,4022962.0,10625564.0,14648526.0,14.65
NC077,Siyathemba,112459.0,69697668.0,67157509.0,136967636.0,136.97
NC078,Siyancuma,1714097.0,13173019.0,54068110.0,68955226.0,68.96
NC082,!Kai! Garib,0.0,0.0,0.0,0.0,0.0
NC084,!Kheis,2725930.0,33785427.0,0.0,36511357.0,36.51
NC085,Tsantsabane,0.0,0.0,44750238.0,44750238.0,44.75
NC086,Kgatelopele,597864.0,2293497.0,0.0,2891361.0,2.89
NC087,Dawid Kruiper,0.0,2931993.0,51817779.0,54749772.0,54.75
NC091,Sol Plaatje,13693326.0,116568677.0,0.0,130262003.0,130.26
NC092,Dikgatlong,393506.0,1060509.0,103093132.0,104547147.0,104.55
NC093,Magareng,852562.0,26104553.0,57943576.0,84900691.0,84.9
NC094,Phokwane,0.0,0.0,0.0,0.0,0.0
NC451,Joe Morolong,106582.0,4065059.0,249407.0,4421048.0,4.42
NC452,Ga-Segonyana,0.0,18864640.0,67810223.0,86674863.0,86.67
NC453,Gamagara,2400000.0,673691381.0,49796070.0,725887451.0,725.89
NMA,Nelson Mandela Bay,999816.0,1389805210.0,847087284.0,2237892310.0,2237.89
NW371,Moretele,941314.0,47191775.0,72597000.0,120730089.0,120.73
NW372,Madibeng,22679006.0,529040614.0,0.0,551719620.0,551.72
NW373,Rustenburg,4478000.0,614594000.0,0.0,619072000.0,619.07
NW374,Kgetlengrivier,0.0,100247417.0,126213876.0,226461293.0,226.46
NW375,Moses Kotane,101610737.0,231435794.0,133238930.0,466285461.0,466.29
NW381,Ratlou,69670.0,92830421.0,0.0,92900091.0,92.9
NW382,Tswaing,7044293.0,115428031.0,116486966.0,238959290.0,238.96
