province,municipality,muni_code,num_taxpayers,taxable_income_rm,avg_taxable_income
North West,Rustenburg Local Municipality,NW373,66757,23171,347095.0
North West,Tswaing Local Municipality,NW382,4293,894,208246.0
North West,Ventersdorp/Tlokwe Local Municipality,NW405,28822,8150,282770.0
Mpumalanga,Albert Luthuli Local Municipality,MP301,6252,1602,256238.0
Mpumalanga,Bushbuckridge Local Municipality,MP325,16232,4186,257886.0
Mpumalanga,Dipaleseng Local Municipality,MP306,3341,700,209518.0
Mpumalanga,Dr JS Moroka Local Municipality,MP316,7378,1761,238683.0
Mpumalanga,Emakhazeni Local Municipality,MP314,2495,644,258116.0
Mpumalanga,Emalahleni Local Municipality,MP312,57522,20104,349501.0
Mpumalanga,Govan Mbeki Local Municipality,MP307,51775,15784,304858.0
Mpumalanga,Lekwa Local Municipality,MP305,13623,3717,272847.0
Mpumalanga,Mbombela/Umjindi Local Municipality,MP326,64300,18950,294712.0
Mpumalanga,Mkhondo Local Municipality,MP303,7360,2058,279620.0
Mpumalanga,Msukaligwa Local Municipality,MP302,14185,3739,263588.0
Mpumalanga,Nkomazi Local Municipality,MP324,16113,4145,257246.0
Mpumalanga,Pixley Ka Seme Local Municipality,MP304,5219,1145,219391.0
Mpumalanga,Steve Tshwete Local Municipality,MP313,33147,11193,337678.0
Mpumalanga,Thaba Chweu Local Municipality,MP321,9369,3442,367382.0
Mpumalanga,Thembisile Local Municipality,MP315,9599,2237,233045.0
Mpumalanga,Victor Khanye Local Municipality,MP311,7251,1949,268791.0
Northern Cape,!Kheis Local Municipality,NC084,901,160,177580.0
Northern Cape,Dawid Kruiper Local Municipality,NC087,12107,3158,260841.0
Northern Cape,Dikgatlong Local Municipality,NC092,2223,542,243815.0
Northern Cape,Emthanjeni Local Municipality,NC073,3492,925,264891.0
Northern Cape,Gamagara Local Municipality,NC453,7782,3655,469674.0
Northern Cape,Ga-Segonyana Local Municipality,NC452,12519,3922,313284.0
Northern Cape,Hantam Local Municipality,NC065,1752,342,195205.0
Northern Cape,Joe Morolong Local Municipality,NC451,1730,703,406358.0
Northern Cape,Kai !Garib Local Municipality,NC082,4069,971,238634.0
Northern Cape,Kamiesberg Local Municipality,NC064,561,108,192513.0
Northern Cape,Kareeberg Local Municipality,NC074,710,125,176056.0
Northern Cape,Karoo Hoogland Local Municipality,NC066,1616,358,221535.0
Northern Cape,Kgatelopele Local Municipality,NC086,2151,732,340307.0
Northern Cape,Khâi-Ma Local Municipality,NC067,2828,870,307638.0
Northern Cape,Magareng Local Municipality,NC093,1389,352,253420.0
Northern Cape,Nama Khoi Local Municipality,NC062,5452,1413,259171.0
Northern Cape,Phokwane Local Municipality,NC094,4487,1143,254736.0
Northern Cape,Renosterberg Local Municipality,NC075,729,202,277092.0
Northern Cape,Richtersveld Local Municipality,NC061,1005,221,219900.0
Northern Cape,Siyancuma Local Municipality,NC078,2468,559,226499.0
Northern Cape,Siyathemba Local Municipality,NC077,1547,345,223012.0
Northern Cape,Sol Plaatjie Local Municipality,NC091,35129,10795,307296.0
Northern Cape,Thembelihle Local Municipality,NC076,1439,245,170257.0
Northern Cape,Tsantsabane Local Municipality,NC085,4388,1737,395852.0
Northern Cape,Ubuntu Local Municipality,NC071,1103,221,200363.0
