demarcation.code,demarcation.label,financial_year_end.year,item.code,item.label,amount
WC048,Knysna,2021,unauthorised,Unauthorised Expenditure,9922302
WC051,Laingsburg,2021,fruitless,Fruitless and Wasteful Expenditure,728865
WC051,Laingsburg,2021,irregular,Irregular Expenditure,13860538
WC051,Laingsburg,2021,unauthorised,Unauthorised Expenditure,10299062
WC052,Prince Albert,2021,fruitless,Fruitless and Wasteful Expenditure,93716
WC052,Prince Albert,2021,irregular,Irregular Expenditure,842695
WC052,Prince Albert,2021,unauthorised,Unauthorised Expenditure,1079611
WC053,Beaufort West,2021,fruitless,Fruitless and Wasteful Expenditure,2981
WC053,Beaufort West,2021,irregular,Irregular Expenditure,23272530
WC053,Beaufort West,2021,unauthorised,Unauthorised Expenditure,103898922
