demarcation.code,demarcation.label,financial_year_end.year,item.code,item.label,amount
EC104,Makana,2021,unauthorised,Unauthorised Expenditure,100121099
EC105,Ndlambe,2021,fruitless,Fruitless and Wasteful Expenditure,60601
EC105,Ndlambe,2021,irregular,Irregular Expenditure,243801231
EC105,Ndlambe,2021,unauthorised,Unauthorised Expenditure,33203257
EC106,Sundays River Valley,2021,fruitless,Fruitless and Wasteful Expenditure,3281854
EC106,Sundays River Valley,2021,irregular,Irregular Expenditure,29563458
EC106,Sundays River Valley,2021,unauthorised,Unauthorised Expenditure,43714971
EC108,Kouga,2021,fruitless,Fruitless and Wasteful Expenditure,37528
EC108,Kouga,2021,irregular,Irregular Expenditure,3540531
EC108,Kouga,2021,unauthorised,Unauthorised Expenditure,0
EC109,Kou-Kamma,2021,fruitless,Fruitless and Wasteful Expenditure,0
EC109,Kou-Kamma,2021,irregular,Irregular Expenditure,1174448
EC109,Kou-Kamma,2021,unauthorised,Unauthorised Expenditure,10703019
EC121,Mbhashe,2021,fruitless,Fruitless and Wasteful Expenditure,204783
EC121,Mbhashe,2021,irregular,Irregular Expenditure,21120100
EC121,Mbhashe,2021,unauthorised,Unauthorised Expenditure,0
EC122,Mnquma,2021,fruitless,Fruitless and Wasteful Expenditure,3452
EC122,Mnquma,2021,irregular,Irregular Expenditure,1450978
EC122,Mnquma,2021,unauthorised,Unauthorised Expenditure,0
EC123,Great Kei,2021,fruitless,Fruitless and Wasteful Expenditure,1078955
EC123,Great Kei,2021,irregular,Irregular Expenditure,4191260
EC123,Great Kei,2021,unauthorised,Unauthorised Expenditure,31718596
EC124,Amahlathi,2021,fruitless,Fruitless and Wasteful Expenditure,3723612
EC124,Amahlathi,2021,irregular,Irregular Expenditure,17733598
EC124,Amahlathi,2021,unauthorised,Unauthorised Expenditure,49136737
EC126,Ngqushwa,2021,fruitless,Fruitless and Wasteful Expenditure,16633
EC126,Ngqushwa,2021,irregular,Irregular Expenditure,2501349
EC126,Ngqushwa,2021,unauthorised,Unauthorised Expenditure,18394190
EC129,Raymond Mhlaba,2021,fruitless,Fruitless and Wasteful Expenditure,24948887
EC129,Raymond Mhlaba,2021,irregular,Irregular Expenditure,16563951
EC129,Raymond Mhlaba,2021,unauthorised,Unauthorised Expenditure,0
EC131,Inxuba Yethemba,2021,fruitless,Fruitless and Wasteful Expenditure,10195102
EC131,Inxuba Yethemba,2021,irregular,Irregular Expenditure,80153314
EC131,Inxuba Yethemba,2021,unauthorised,Unauthorised Expenditure,133180825
EC135,Intsika Yethu,2021,fruitless,Fruitless and Wasteful Expenditure,9294439
EC135,Intsika Yethu,2021,irregular,Irregular Expenditure,7423045
EC135,Intsika Yethu,2021,unauthorised,Unauthorised Expenditure,21088632
EC136,Emalahleni (EC),2021,fruitless,Fruitless and Wasteful Expenditure,6190852
EC136,Emalahleni (EC),2021,irregular,Irregular Expenditure,5292688
EC136,Emalahleni (EC),2021,unauthorised,Unauthorised Expenditure,10373137
EC137,Dr. A.B. Xuma,2021,fruitless,Fruitless and Wasteful Expenditure,0
EC137,Dr. A.B. Xuma,2021,irregular,Irregular Expenditure,7527050
EC137,Dr. A.B. Xuma,2021,unauthorised,Unauthorised Expenditure,0
EC138,Sakhisizwe,2021,fruitless,Fruitless and Wasteful Expenditure,301433
EC138,Sakhisizwe,2021,irregular,Irregular Expenditure,13756975
EC138,Sakhisizwe,2021,unauthorised,Unauthorised Expenditure,0
EC139,Enoch Mgijima,2021,fruitless,Fruitless and Wasteful Expenditure,122467434
EC139,Enoch Mgijima,2021,irregular,Irregular Expenditure,52650401
EC139,Enoch Mgijima,2021,unauthorised,Unauthorised Expenditure,189203120
EC141,Elundini,2021,fruitless,Fruitless and Wasteful Expenditure,7000
EC141,Elundini,2021,irregular,Irregular Expenditure,12939705
EC141,Elundini,2021,unauthorised,Unauthorised Expenditure,0
EC142,Senqu,2021,fruitless,Fruitless and Wasteful Expenditure,54880
EC142,Senqu,2021,irregular,Irregular Expenditure,498236
EC142,Senqu,2021,unauthorised,Unauthorised Expenditure,0
EC145,Walter Sisulu,2021,fruitless,Fruitless and Wasteful Expenditure,240932
EC145,Walter Sisulu,2021,irregular,Irregular Expenditure,25250690
EC145,Walter Sisulu,2021,unauthorised,Unauthorised Expenditure,116305926
EC153,Ngquza Hills,2021,fruitless,Fruitless and Wasteful Expenditure,0
EC153,Ngquza Hills,2021,irregular,Irregular Expenditure,1906549
EC153,Ngquza Hills,2021,unauthorised,Unauthorised Expenditure,0
EC154,Port St Johns,2021,fruitless,Fruitless and Wasteful Expenditure,762396
EC154,Port St Johns,2021,irregular,Irregular Expenditure,41634944
EC154,Port St Johns,2021,unauthorised,Unauthorised Expenditure,65520518
EC155,Nyandeni,2021,fruitless,Fruitless and Wasteful Expenditure,2069789
EC155,Nyandeni,2021,irregular,Irregular Expenditure,251301509
EC155,Nyandeni,2021,unauthorised,Unauthorised Expenditure,0
EC156,Mhlontlo,2021,fruitless,Fruitless and Wasteful Expenditure,119052
EC156,Mhlontlo,2021,irregular,Irregular Expenditure,5914423
EC156,Mhlontlo,2021,unauthorised,Unauthorised Expenditure,0
EC157,King Sabata Dalindyebo,2021,fruitless,Fruitless and Wasteful Expenditure,19562870
EC157,King Sabata Dalindyebo,2021,irregular,Irregular Expenditure,9284672
